user_id,product_id,review_packaging,review_rebuy,review_valueformoney
21,89,4.0,maybe,expensive
21,370,1.0,no,expensive
21,1398,9.9,yes,expensive
21,3168,5.0,yes,cheap
21,6733,5.0,yes,just right
21,99,4.0,no,just right
21,541,2.0,maybe,expensive
21,610,2.0,no,just right
21,2491,3.5,yes,just right
21,3721,4.5,yes,cheap
21,859,5.0,yes,just right
21,231,5.0,maybe,expensive
69,3764,5.0,maybe,cheap
69,618,3.5,no,cheap
69,369,5.0,yes,just right
69,2912,5.0,maybe,cheap
750,85,3.0,maybe,cheap
750,1020,4.5,maybe,expensive
750,9183,3.0,maybe,cheap
750,2202,3.0,no,cheap
750,7942,3.0,yes,just right
750,404,3.0,maybe,cheap
750,4402,3.0,maybe,just right
750,629,3.0,maybe,cheap
750,2415,3.0,no,cheap
750,7668,3.5,maybe,cheap
750,1130,3.0,maybe,just right
750,742,3.0,yes,cheap
750,3366,3.0,yes,just right
750,487,3.0,maybe,cheap
750,7557,3.0,maybe,just right
750,2506,3.0,maybe,cheap
750,126,3.0,maybe,cheap
750,5926,3.0,no,cheap
750,3110,3.0,maybe,cheap
750,941,3.0,maybe,expensive
750,3426,3.0,yes,just right
750,5036,3.0,yes,cheap
750,2034,3.0,yes,just right
750,3486,3.0,maybe,just right
750,2491,3.0,maybe,expensive
750,209,3.0,no,expensive
750,2500,3.5,maybe,just right
750,2116,3.0,yes,cheap
750,220,3.0,no,expensive
750,379,3.5,yes,just right
750,4699,3.0,maybe,cheap
750,208,3.0,no,expensive
750,7548,3.0,no,cheap
750,1398,3.0,maybe,cheap
750,861,3.0,no,expensive
750,7542,3.0,maybe,cheap
750,1115,3.0,yes,just right
750,1330,3.0,no,expensive
750,1434,3.0,maybe,cheap
750,3677,3.0,maybe,just right
750,12602,3.0,maybe,cheap
750,2221,3.0,yes,just right
750,2475,3.0,maybe,cheap
750,2175,3.5,yes,cheap
750,4362,3.5,yes,just right
750,3745,3.0,maybe,cheap
750,3766,3.0,yes,just right
750,833,2.5,yes,cheap
750,101,3.0,maybe,just right
750,847,3.0,maybe,cheap
750,2372,3.5,yes,cheap
750,10315,3.0,maybe,expensive
750,3895,3.0,maybe,cheap
750,5921,3.0,maybe,just right
750,6496,4.0,yes,cheap
750,2185,3.0,maybe,just right
750,5924,3.5,no,expensive
750,6486,3.0,yes,just right
750,966,3.0,maybe,just right
750,7405,3.0,yes,just right
750,13101,4.0,yes,cheap
750,4186,3.0,no,expensive
762,6502,2.5,yes,just right
762,208,2.0,no,just right
762,1418,3.0,yes,expensive
762,1638,2.5,yes,expensive
762,10588,3.0,no,expensive
762,2185,3.5,yes,just right
944,3266,5.0,yes,cheap
944,1454,4.5,yes,cheap
944,2364,5.0,yes,just right
944,6164,4.0,no,cheap
944,303,5.0,yes,just right
944,2202,1.5,no,just right
944,1695,3.0,yes,just right
944,1964,4.5,no,expensive
944,367,4.5,yes,just right
944,5522,5.0,yes,just right
944,2930,3.0,no,cheap
944,129,2.5,yes,just right
944,1130,3.5,no,just right
944,5033,5.0,yes,just right
944,1843,3.0,yes,just right
944,5429,5.0,yes,expensive
944,126,4.5,yes,just right
944,1927,5.0,yes,expensive
944,833,3.0,no,cheap
944,1346,4.5,yes,just right
